사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-09,2호선,24,강변(동서울터미널),17,1,"7,885","2,341","22,288","17,475","64,478","21,041","88,470","39,001","59,442","31,686","38,988","30,117","35,463","27,877","35,032","31,542","35,536","34,448","33,718","36,407","34,312","42,228","36,749","47,293","41,082","63,228","49,420","94,770","36,902","68,090","28,304","42,311","24,396","34,295","15,453","27,137","5,099","14,549",1,281,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,25,잠실나루,3,0,"2,513","1,435","9,449","8,769","31,562","20,039","36,800","32,172","22,311","20,250","15,951","13,591","15,099","11,844","14,877","14,049","14,414","14,470","15,936","13,104","17,109","12,733","21,208","13,590","25,582","19,137","25,958","32,780","12,745","24,641","8,953","13,734","6,785","12,813","4,353","9,393","1,538","5,900",1,32,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,26,잠실(송파구청),96,8,"10,535","4,435","38,640","27,962","89,352","62,807","127,197","136,270","89,264","103,534","53,331","59,541","52,251","56,224","56,556","58,346","61,611","63,990","62,970","63,170","69,520","70,500","82,201","80,591","116,855","107,308","153,210","163,431","98,451","111,966","95,327","66,177","70,145","60,703","48,253","44,599","13,571","26,288",3,76,1,0,1,1,0,0,2020-10-03 09:02:33
2020-09,2호선,27,잠실새내,7,0,"3,986",846,"13,004","7,106","43,402","13,702","54,669","22,409","31,505","23,131","19,564","18,535","18,266","18,234","20,246","19,317","20,943","21,945","20,255","23,271","22,222","25,307","26,041","28,492","26,690","39,793","30,971","63,832","23,036","44,992","19,512","23,691","19,219","20,442","14,272","15,684","6,027","9,053",5,548,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,28,종합운동장,2,0,"1,487",899,"4,862","5,181","13,926","8,842","17,909","16,897","12,688","8,201","7,402","5,421","6,352","5,367","6,769","6,115","7,270","6,477","7,313","6,756","7,776","7,622","9,222","8,840","11,710","12,514","13,304","19,904","6,709","13,534","4,637","8,091","4,917","8,046","3,273","6,474","1,048","3,622",3,276,0,2,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,29,삼성(무역센터),185,1,"4,573","4,612","6,183","42,985","12,925","112,272","17,125","260,961","15,970","184,711","16,974","69,331","23,715","43,639","29,077","39,714","35,810","45,060","44,714","38,409","57,444","34,654","77,536","32,507","143,601","34,770","223,279","39,944","122,479","23,104","85,521","12,332","65,182","10,355","37,647","6,320","8,580","4,555",2,"2,168",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,30,선릉,67,0,"3,519","6,033","9,346","37,422","16,620","97,790","24,272","237,097","22,349","179,703","25,631","70,047","33,913","47,006","39,529","41,569","47,464","45,809","55,616","42,234","70,436","36,264","100,861","33,587","150,788","36,905","236,642","39,610","115,795","25,289","68,435","14,630","63,570","12,713","43,815","8,868","12,338","5,565",3,84,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,31,역삼,71,0,"3,585","7,034","7,694","40,410","12,164","102,335","19,564","270,723","18,898","219,245","17,765","76,233","23,905","45,856","28,880","40,370","34,506","44,697","43,387","38,107","57,474","35,478","77,719","31,917","150,759","35,161","225,301","38,764","109,527","26,697","62,285","15,655","57,935","12,870","34,802","9,044","11,130","5,684",0,0,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,32,강남,107,4,"6,632","11,455","15,315","44,203","31,775","120,400","47,717","265,844","36,874","253,389","35,908","114,201","49,351","78,755","59,641","74,855","70,365","91,514","81,041","81,401","104,012","76,283","118,539","77,176","189,508","91,912","279,907","119,719","174,513","79,316","125,121","38,156","133,243","29,221","95,295","20,096","31,153","14,135",8,13,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,33,교대(법원.검찰청),13,0,"1,936","6,758","10,443","23,689","20,027","46,197","27,619","135,847","21,622","118,897","20,266","56,444","24,985","40,679","27,803","36,505","31,941","43,107","40,241","41,277","45,436","37,083","49,879","34,937","83,840","40,567","125,506","50,156","56,710","32,377","41,270","17,459","42,085","15,152","26,114","10,881","9,250","7,049",3,41,0,0,0,0,0,0,2020-10-03 09:02:33
